spec_mean,spec_std,spec_max,spec_sum,spec_p75,spec_p95,dominant_hz,spectral_centroid,spectral_bandwidth,low_band_ratio_10_80,mid_band_ratio_80_180,high_band_ratio_180_500,signal_mean,signal_variance,signal_rms,signal_energy,spectral_entropy,peak_width_bins,zero_crossing_rate,signal_max,signal_min,signal_range,label,file
0.0008743679314298012,0.0010238243609893187,0.005906563729800209,5.414086231413329,0.001539473483610082,0.0029114378016003328,67.33333333333333,258.92719488074783,152.75433985096635,0.17537900153905145,0.22029667439769843,0.6043243240632499,1.2155794414065724e-05,0.000321060055353145,0.017918152893545775,1.9263612186988968,0.8627439371200901,205.0,0.2650441740290048,0.06406690081770144,-0.06368519723137914,0.12775209804908058,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_001.csv
0.0007024373493706949,0.0008247841110239163,0.0042297864894646955,4.349492067303343,0.0012380912217343119,0.002343220941641665,290.0,258.0142519979694,151.58703753384333,0.16733714927225077,0.2418110213688214,0.5908518293589275,-2.7901292692506976e-05,0.00020537924066722874,0.014331085763101227,1.232280114896176,0.8617998323805951,241.0,0.2678779796632772,0.0494934995348063,-0.055280587285489874,0.10477408682029618,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_002.csv
0.000579854773075477,0.0006816702562738274,0.0040087793053725,3.5904607548833534,0.001018334670441604,0.001934645907993985,70.33333333333333,259.51722127383266,156.34108916345485,0.16696518537864008,0.22163509510746243,0.611399719513897,6.813222063587741e-05,0.0001414906317760784,0.01189517859368102,0.8489716426534031,0.8625621585541516,205.0,0.2697116186031005,0.050779636882571484,-0.04844739999600075,0.09922703687857223,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_003.csv
0.0008419260320379629,0.0009966280234023493,0.005222733980548871,5.213205990379066,0.00148454088138494,0.0028335166175776677,211.66666666666666,262.7597784924963,155.32196121856356,0.15140602486277116,0.23100414463536825,0.6175898305018604,1.0280013258962106e-05,0.00029925732654579863,0.017299058709203553,1.7955445933468277,0.8575245981922551,154.0,0.27021170195032507,0.06377532183243839,-0.06466301426246092,0.1284383360948993,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_004.csv
0.0006126479743326341,0.0007212787354628848,0.003771472010213964,3.7935162570676706,0.0010721839087089408,0.0020387308287991663,135.66666666666666,263.2687947777336,160.18851225640836,0.16523377248662552,0.2350236768764201,0.5997425506369541,1.4200047410265353e-05,0.0001574569381863805,0.012548192691687794,0.9447428389663617,0.8610333553892923,87.0,0.2645440906817803,0.047629724642735044,-0.04254101175088894,0.09017073639362398,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_005.csv
0.0008412237181006309,0.0009849259786060191,0.005891958834902751,5.208857262479107,0.001507003515083746,0.0027635645478783447,207.33333333333331,258.55769226999246,152.1915976768062,0.14633238968808343,0.23653228011195185,0.6171353301999645,6.862160983285341e-05,0.00029516792818964097,0.01718058896298311,1.771035822689862,0.8622985723725128,217.0,0.26487747957992996,0.06209452869889959,-0.060846026612534895,0.12294055531143448,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_006.csv
0.0010697069955771733,0.0012744322205794918,0.009126952246511113,6.623625716613858,0.0018870264027158346,0.003551565793131795,29.0,256.8301089367644,155.0865859291606,0.16873024913767237,0.2223483150136826,0.6089214358486449,-0.00018390598538157337,0.0004885601504096121,0.022104161866514444,2.931563830926428,0.8624231670689787,100.0,0.26221036839473244,0.07676078582178991,-0.09867198506544088,0.1754327708872308,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_007.csv
0.0004875481088249875,0.0005736943518072393,0.0030415002685125463,3.0188978898443226,0.0008532294380851842,0.0016467225759606086,291.0,262.1274134625152,156.9120667265587,0.15230882419877984,0.22046212748059837,0.6272290483206212,3.781605824532839e-05,9.939381169584704e-05,0.00996971623217573,0.5963714505006494,0.8629624082143914,255.0,0.2632105350891815,0.03335473914658876,-0.04300876751559432,0.07636350666218308,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_sim_008.csv
0.0005943298288026693,0.0007013253578971047,0.0037639315444714374,4.906787066594838,0.0010548546083956386,0.002001056521376137,246.75,262.0198864344066,156.57833397609633,0.15250167930654213,0.21983320934199116,0.6276651113514664,-6.860971857459464e-05,0.0001478149467666347,0.01215811062871685,1.1825572324809408,0.867867186532421,328.0,0.2694086760845106,0.048516708279787275,-0.047571192905919414,0.09608790118570669,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_web_001.csv
0.0009679548261702039,0.0011460070158956415,0.00838564275472358,7.991435044861204,0.0017186074640102367,0.003249100567350375,215.75,264.3898877592279,159.38465265110972,0.15881283379016073,0.22996427558819432,0.6112228906216448,-3.38778156133096e-05,0.00039490777427603343,0.019872315466055387,3.1592713758593933,0.8667356464311897,113.0,0.2696587073384173,0.08082535370409522,-0.08603363169148966,0.16685898539558486,background,C:\Users\RUPENDRA SINGH\Desktop\PR project\dataset_simulated\background\background_web_002.csv
